revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
stepping,67,0,67,67
rising,103,67,103,36
rearing,190,103,190,87
sniffing,222,190,222,32
rising,350,222,350,128
left_turning,386,350,386,36
grooming,387,386,387,1
rising,417,387,417,30
trotting,426,417,426,9
running,440,426,440,14
trotting,488,440,488,48
running,518,488,518,30
trotting,534,518,534,16
sniffing,542,534,542,8
stepping,590,542,590,48
rising,637,590,637,47
stepping,669,637,669,32
walking,670,669,670,1
stepping,671,670,671,1
walking,692,671,692,21
trotting,707,692,707,15
sniffing,752,707,752,45
walking,780,752,780,28
trotting,825,780,825,45
rising,826,825,826,1
rearing,888,826,888,62
sniffing,938,888,938,50
stepping,939,938,939,1
sniffing,981,939,981,42
rising,992,981,992,11
sniffing,1049,992,1049,57
rising,1113,1049,1113,64
rearing,1117,1113,1117,4
climbing,1160,1117,1160,43
rising,1328,1160,1328,168
climbing,1352,1328,1352,24
sniffing,1392,1352,1392,40
stepping,1423,1392,1423,31
sniffing,1484,1423,1484,61
left_turning,1497,1484,1497,13
rearing,1551,1497,1551,54
rising,1552,1551,1552,1
climbing,1606,1552,1606,54
grooming,2049,1606,2049,443
left_turning,2059,2049,2059,10
stepping,2079,2059,2079,20
sniffing,2135,2079,2135,56
stepping,2152,2135,2152,17
rising,2153,2152,2153,1
sniffing,2154,2153,2154,1
left_turning,2166,2154,2166,12
right_turning,2173,2166,2173,7
sniffing,2251,2173,2251,78
walking,2302,2251,2302,51
running,2313,2302,2313,11
trotting,2365,2313,2365,52
sniffing,2370,2365,2370,5
hunching,2419,2370,2419,49
climbing,2469,2419,2469,50
grooming,2470,2469,2470,1
left_turning,2500,2470,2500,30
walking,2509,2500,2509,9
rising,2527,2509,2527,18
sniffing,2715,2527,2715,188
left_turning,2740,2715,2740,25
running,2752,2740,2752,12
walking,2789,2752,2789,37
sniffing,2875,2789,2875,86
rising,2876,2875,2876,1
rearing,2978,2876,2978,102
climbing,3010,2978,3010,32
hunching,3019,3010,3019,9
grooming,3020,3019,3020,1
rearing,3106,3020,3106,86
sniffing,3107,3106,3107,1
grooming,3152,3107,3152,45
right_turning,3173,3152,3173,21
running,3198,3173,3198,25
walking,3225,3198,3225,27
sniffing,3229,3225,3229,4
rising,3260,3229,3260,31
sniffing,3273,3260,3273,13
rising,3290,3273,3290,17
rearing,3291,3290,3291,1
grooming,3292,3291,3292,1
climbing,3316,3292,3316,24
left_turning,3323,3316,3323,7
rearing,3353,3323,3353,30
hunching,3420,3353,3420,67
grooming,3476,3420,3476,56
stepping,3504,3476,3504,28
trotting,3534,3504,3534,30
rising,3548,3534,3548,14
walking,3611,3548,3611,63
rising,3667,3611,3667,56
grooming,3698,3667,3698,31
sniffing,3790,3698,3790,92
walking,3834,3790,3834,44
rearing,3846,3834,3846,12
climbing,3886,3846,3886,40
hunching,3958,3886,3958,72
grooming,4043,3958,4043,85
sniffing,4060,4043,4060,17
rising,4102,4060,4102,42
rearing,4173,4102,4173,71
rising,4219,4173,4219,46
right_turning,4232,4219,4232,13
sniffing,4233,4232,4233,1
rearing,4308,4233,4308,75
grooming,4385,4308,4385,77
right_turning,4397,4385,4397,12
sniffing,4398,4397,4398,1
rearing,4536,4398,4536,138
grooming,4667,4536,4667,131
sniffing,4729,4667,4729,62
stepping,4774,4729,4774,45
trotting,4785,4774,4785,11
sniffing,4806,4785,4806,21
rising,4840,4806,4840,34
sniffing,5082,4840,5082,242
rising,5133,5082,5133,51
right_turning,5151,5133,5151,18
walking,5163,5151,5163,12
sniffing,5181,5163,5181,18
rising,5185,5181,5185,4
running,5199,5185,5199,14
sniffing,5212,5199,5212,13
rising,5228,5212,5228,16
sniffing,5229,5228,5229,1
walking,5273,5229,5273,44
sniffing,5313,5273,5313,40
rising,5369,5313,5369,56
left_turning,5426,5369,5426,57
grooming,5528,5426,5528,102
rearing,5642,5528,5642,114
grooming,5643,5642,5643,1
sniffing,5678,5643,5678,35
rising,5679,5678,5679,1
grooming,5680,5679,5680,1
rearing,5752,5680,5752,72
sniffing,5783,5752,5783,31
right_turning,5801,5783,5801,18
sniffing,5802,5801,5802,1
trotting,5811,5802,5811,9
stepping,5813,5811,5813,2
sniffing,5949,5813,5949,136
walking,6038,5949,6038,89
trotting,6053,6038,6053,15
sniffing,6076,6053,6076,23
rising,6109,6076,6109,33
climbing,6139,6109,6139,30
rearing,6238,6139,6238,99
rising,6269,6238,6269,31
sniffing,6287,6269,6287,18
rising,6363,6287,6363,76
hunching,6392,6363,6392,29
grooming,6460,6392,6460,68
walking,6495,6460,6495,35
stepping,6537,6495,6537,42
sniffing,6570,6537,6570,33
grooming,7254,6570,7254,684
rearing,7318,7254,7318,64
grooming,7381,7318,7381,63
right_turning,7394,7381,7394,13
walking,7448,7394,7448,54
sniffing,7492,7448,7492,44
walking,7513,7492,7513,21
trotting,7520,7513,7520,7
walking,7557,7520,7557,37
stepping,7599,7557,7599,42
walking,7647,7599,7647,48
stepping,7669,7647,7669,22
rising,7886,7669,7886,217
hunching,7924,7886,7924,38
grooming,7925,7924,7925,1
hunching,7974,7925,7974,49
grooming,7998,7974,7998,24
left_turning,8045,7998,8045,47
hunching,8088,8045,8088,43
grooming,8237,8088,8237,149
right_turning,8257,8237,8257,20
trotting,8284,8257,8284,27
stepping,8313,8284,8313,29
rearing,8401,8313,8401,88
climbing,8452,8401,8452,51
left_turning,8487,8452,8487,35
trotting,8513,8487,8513,26
stepping,8544,8513,8544,31
rearing,8612,8544,8612,68
sniffing,8613,8612,8613,1
rearing,8679,8613,8679,66
rising,8680,8679,8680,1
trotting,8710,8680,8710,30
rearing,8720,8710,8720,10
left_turning,8733,8720,8733,13
grooming,8806,8733,8806,73
sniffing,8836,8806,8836,30
walking,8881,8836,8881,45
trotting,8898,8881,8898,17
stepping,8950,8898,8950,52
walking,8959,8950,8959,9
sniffing,9018,8959,9018,59
grooming,9263,9018,9263,245
hunching,9327,9263,9327,64
rearing,9328,9327,9328,1
sniffing,9491,9328,9491,163
left_turning,9509,9491,9509,18
stepping,9510,9509,9510,1
right_turning,9541,9510,9541,31
sniffing,9557,9541,9557,16
walking,9616,9557,9616,59
stepping,9632,9616,9632,16
trotting,9661,9632,9661,29
sniffing,9730,9661,9730,69
stepping,9734,9730,9734,4
climbing,9786,9734,9786,52
grooming,9802,9786,9802,16
walking,9842,9802,9842,40
sniffing,9867,9842,9867,25
stepping,9925,9867,9925,58
rising,10013,9925,10013,88
stepping,10026,10013,10026,13
rising,10061,10026,10061,35
climbing,10087,10061,10087,26
right_turning,10106,10087,10106,19
rising,10130,10106,10130,24
grooming,10242,10130,10242,112
trotting,10253,10242,10253,11
rising,10282,10253,10282,29
grooming,10549,10282,10549,267
hunching,10636,10549,10636,87
grooming,10637,10636,10637,1
left_turning,10657,10637,10657,20
sniffing,10674,10657,10674,17
rearing,10675,10674,10675,1
running,10696,10675,10696,21
walking,10726,10696,10726,30
rising,10782,10726,10782,56
sniffing,10931,10782,10931,149
stepping,10941,10931,10941,10
walking,10976,10941,10976,35
stepping,10979,10976,10979,3
sniffing,10980,10979,10980,1
stepping,11005,10980,11005,25
sniffing,11044,11005,11044,39
rising,11056,11044,11056,12
grooming,11309,11056,11309,253
climbing,11323,11309,11323,14
grooming,11423,11323,11423,100
rising,11424,11423,11424,1
sniffing,11464,11424,11464,40
stepping,11487,11464,11487,23
rising,11532,11487,11532,45
climbing,11548,11532,11548,16
grooming,11549,11548,11549,1
rearing,11550,11549,11550,1
hunching,11592,11550,11592,42
grooming,11619,11592,11619,27
hunching,11620,11619,11620,1
grooming,11821,11620,11821,201
climbing,11860,11821,11860,39
grooming,11933,11860,11933,73
rearing,12056,11933,12056,123
climbing,12065,12056,12065,9
stepping,12071,12065,12071,6
sniffing,12095,12071,12095,24
left_turning,12121,12095,12121,26
rising,12160,12121,12160,39
climbing,12214,12160,12214,54
grooming,12281,12214,12281,67
right_turning,12295,12281,12295,14
sniffing,12386,12295,12386,91
rising,12401,12386,12401,15
climbing,12436,12401,12436,35
left_turning,12481,12436,12481,45
running,12521,12481,12521,40
stepping,12556,12521,12556,35
walking,12582,12556,12582,26
stepping,12606,12582,12606,24
rising,12632,12606,12632,26
sniffing,12668,12632,12668,36
stepping,12687,12668,12687,19
grooming,12911,12687,12911,224
rising,12912,12911,12912,1
sniffing,12966,12912,12966,54
grooming,12967,12966,12967,1
stepping,12990,12967,12990,23
walking,12998,12990,12998,8
stepping,13053,12998,13053,55
sniffing,13138,13053,13138,85
grooming,13450,13138,13450,312
left_turning,13454,13450,13454,4
grooming,13816,13454,13816,362
stepping,13822,13816,13822,6
trotting,13860,13822,13860,38
stepping,13875,13860,13875,15
sniffing,13907,13875,13907,32
grooming,13908,13907,13908,1
rising,14024,13908,14024,116
left_turning,14030,14024,14030,6
grooming,14308,14030,14308,278
hunching,14348,14308,14348,40
rearing,14362,14348,14362,14
climbing,14416,14362,14416,54
left_turning,14420,14416,14420,4
sniffing,14421,14420,14421,1
climbing,14451,14421,14451,30
sniffing,14462,14451,14462,11
climbing,14488,14462,14488,26
walking,14511,14488,14511,23
sniffing,14565,14511,14565,54
stepping,14588,14565,14588,23
climbing,14673,14588,14673,85
sniffing,14726,14673,14726,53
grooming,15406,14726,15406,680
trotting,15436,15406,15436,30
sniffing,15437,15436,15437,1
stepping,15466,15437,15466,29
grooming,15529,15466,15529,63
sniffing,15601,15529,15601,72
grooming,16085,15601,16085,484
sniffing,16139,16085,16139,54
rising,16267,16139,16267,128
rearing,16379,16267,16379,112
hunching,16417,16379,16417,38
rearing,16631,16417,16631,214
stepping,16652,16631,16652,21
climbing,16713,16652,16713,61
rearing,16726,16713,16726,13
hunching,16749,16726,16749,23
rearing,16807,16749,16807,58
hunching,16846,16807,16846,39
rising,16893,16846,16893,47
stepping,16932,16893,16932,39
grooming,16933,16932,16933,1
stepping,16966,16933,16966,33
walking,16975,16966,16975,9
grooming,17076,16975,17076,101
rising,17124,17076,17124,48
walking,17133,17124,17133,9
trotting,17166,17133,17166,33
grooming,17335,17166,17335,169
sniffing,17463,17335,17463,128
grooming,17554,17463,17554,91
rearing,17555,17554,17555,1
stepping,17579,17555,17579,24
grooming,17688,17579,17688,109
scratching,17725,17688,17725,37
grooming,17726,17725,17726,1
rising,17783,17726,17783,57
left_turning,17801,17783,17801,18
stepping,17843,17801,17843,42
sniffing,17918,17843,17918,75
grooming,18097,17918,18097,179
sniffing,18216,18097,18216,119
grooming,18447,18216,18447,231
hunching,18481,18447,18481,34
grooming,18523,18481,18523,42
stepping,18556,18523,18556,33
sniffing,18587,18556,18587,31
rising,18615,18587,18615,28
climbing,18663,18615,18663,48
left_turning,18678,18663,18678,15
trotting,18692,18678,18692,14
walking,18708,18692,18708,16
stepping,18735,18708,18735,27
trotting,18749,18735,18749,14
walking,18773,18749,18773,24
stepping,18826,18773,18826,53
sniffing,18856,18826,18856,30
grooming,19056,18856,19056,200
climbing,19103,19056,19103,47
trotting,19164,19103,19164,61
sniffing,19232,19164,19232,68
scratching,19294,19232,19294,62
sniffing,19342,19294,19342,48
rising,19391,19342,19391,49
left_turning,19459,19391,19459,68
walking,19470,19459,19470,11
stepping,19490,19470,19490,20
walking,19536,19490,19536,46
running,19538,19536,19538,2
rising,19605,19538,19605,67
left_turning,19619,19605,19619,14
grooming,19711,19619,19711,92
climbing,19779,19711,19779,68
walking,19790,19779,19790,11
stepping,19821,19790,19821,31
walking,19828,19821,19828,7
rising,19829,19828,19829,1
climbing,19853,19829,19853,24
grooming,19904,19853,19904,51
hunching,19961,19904,19961,57
rising,20013,19961,20013,52
stepping,20033,20013,20033,20
grooming,20178,20033,20178,145
rearing,20235,20178,20235,57
hunching,20245,20235,20245,10
grooming,20279,20245,20279,34
hunching,20343,20279,20343,64
grooming,20875,20343,20875,532
rearing,20899,20875,20899,24
grooming,20929,20899,20929,30
rearing,20930,20929,20930,1
climbing,21013,20930,21013,83
sniffing,21014,21013,21014,1
stepping,21067,21014,21067,53
climbing,21101,21067,21101,34
grooming,21134,21101,21134,33
rearing,21218,21134,21218,84
grooming,21308,21218,21308,90
rising,21326,21308,21326,18
sniffing,21337,21326,21337,11
rising,21488,21337,21488,151
grooming,21545,21488,21545,57
walking,21561,21545,21561,16
sniffing,21607,21561,21607,46
walking,21644,21607,21644,37
sniffing,21697,21644,21697,53
walking,21766,21697,21766,69
grooming,21951,21766,21951,185
climbing,21986,21951,21986,35
rising,21995,21986,21995,9
walking,22009,21995,22009,14
sniffing,22083,22009,22083,74
grooming,22113,22083,22113,30
