revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
sniffing,47,0,47,47
rising,88,47,88,41
grooming,288,88,288,200
right_turning,309,288,309,21
sniffing,367,309,367,58
rearing,368,367,368,1
left_turning,398,368,398,30
rearing,474,398,474,76
grooming,806,474,806,332
trotting,811,806,811,5
walking,853,811,853,42
right_turning,861,853,861,8
trotting,902,861,902,41
walking,976,902,976,74
sniffing,1026,976,1026,50
stepping,1047,1026,1047,21
sniffing,1103,1047,1103,56
walking,1143,1103,1143,40
grooming,1289,1143,1289,146
stepping,1354,1289,1354,65
walking,1391,1354,1391,37
stepping,1418,1391,1418,27
sniffing,1420,1418,1420,2
rising,1460,1420,1460,40
sniffing,1461,1460,1461,1
rearing,1544,1461,1544,83
rising,1545,1544,1545,1
rearing,1563,1545,1563,18
rising,1612,1563,1612,49
left_turning,1655,1612,1655,43
sniffing,1733,1655,1733,78
rising,1734,1733,1734,1
sniffing,1786,1734,1786,52
walking,1825,1786,1825,39
running,1894,1825,1894,69
walking,1970,1894,1970,76
grooming,2138,1970,2138,168
running,2179,2138,2179,41
rising,2192,2179,2192,13
sniffing,2220,2192,2220,28
rising,2221,2220,2221,1
sniffing,2269,2221,2269,48
walking,2302,2269,2302,33
sniffing,2303,2302,2303,1
stepping,2305,2303,2305,2
walking,2329,2305,2329,24
stepping,2361,2329,2361,32
walking,2401,2361,2401,40
stepping,2448,2401,2448,47
sniffing,2450,2448,2450,2
hunching,2535,2450,2535,85
sniffing,2565,2535,2565,30
right_turning,2592,2565,2592,27
running,2613,2592,2613,21
sniffing,2614,2613,2614,1
stepping,2648,2614,2648,34
rising,2653,2648,2653,5
stepping,2691,2653,2691,38
rising,2778,2691,2778,87
sniffing,2798,2778,2798,20
walking,2819,2798,2819,21
sniffing,2863,2819,2863,44
walking,2924,2863,2924,61
sniffing,2949,2924,2949,25
grooming,3008,2949,3008,59
stepping,3030,3008,3030,22
walking,3060,3030,3060,30
stepping,3071,3060,3071,11
sniffing,3081,3071,3081,10
rising,3148,3081,3148,67
sniffing,3200,3148,3200,52
rising,3317,3200,3317,117
left_turning,3318,3317,3318,1
rising,3341,3318,3341,23
walking,3357,3341,3357,16
sniffing,3387,3357,3387,30
rising,3439,3387,3439,52
left_turning,3497,3439,3497,58
walking,3547,3497,3547,50
sniffing,3608,3547,3608,61
stepping,3663,3608,3663,55
rising,3720,3663,3720,57
trotting,3727,3720,3727,7
walking,3765,3727,3765,38
stepping,3816,3765,3816,51
rising,3878,3816,3878,62
grooming,3993,3878,3993,115
hunching,4231,3993,4231,238
grooming,4320,4231,4320,89
rising,4321,4320,4321,1
walking,4322,4321,4322,1
