revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
walking,25,0,25,25
sniffing,96,25,96,71
left_turning,108,96,108,12
walking,182,108,182,74
sniffing,218,182,218,36
stepping,225,218,225,7
sniffing,302,225,302,77
rising,323,302,323,21
sniffing,562,323,562,239
stepping,568,562,568,6
sniffing,609,568,609,41
walking,670,609,670,61
sniffing,719,670,719,49
stepping,754,719,754,35
walking,774,754,774,20
trotting,802,774,802,28
walking,841,802,841,39
stepping,849,841,849,8
rising,854,849,854,5
sniffing,889,854,889,35
stepping,933,889,933,44
rising,993,933,993,60
grooming,994,993,994,1
rising,1048,994,1048,54
walking,1059,1048,1059,11
sniffing,1101,1059,1101,42
right_turning,1112,1101,1112,11
walking,1159,1112,1159,47
sniffing,1189,1159,1189,30
grooming,1658,1189,1658,469
rearing,1688,1658,1688,30
rising,1715,1688,1715,27
right_turning,1719,1715,1719,4
running,1751,1719,1751,32
sniffing,1775,1751,1775,24
walking,1846,1775,1846,71
left_turning,1865,1846,1865,19
rising,1867,1865,1867,2
grooming,1868,1867,1868,1
sniffing,1869,1868,1869,1
walking,1901,1869,1901,32
rising,1902,1901,1902,1
trotting,1924,1902,1924,22
sniffing,1930,1924,1930,6
running,1952,1930,1952,22
sniffing,2042,1952,2042,90
grooming,2248,2042,2248,206
rearing,2317,2248,2317,69
rising,2355,2317,2355,38
stepping,2410,2355,2410,55
rising,2430,2410,2430,20
grooming,3115,2430,3115,685
stepping,3132,3115,3132,17
sniffing,3152,3132,3152,20
rising,3188,3152,3188,36
climbing,3228,3188,3228,40
left_turning,3276,3228,3276,48
stepping,3317,3276,3317,41
rising,3372,3317,3372,55
rearing,3549,3372,3549,177
rising,3615,3549,3615,66
sniffing,3626,3615,3626,11
rearing,3644,3626,3644,18
right_turning,3656,3644,3656,12
rising,3657,3656,3657,1
trotting,3673,3657,3673,16
walking,3695,3673,3695,22
running,3708,3695,3708,13
sniffing,3783,3708,3783,75
grooming,3901,3783,3901,118
sniffing,3902,3901,3902,1
rising,3916,3902,3916,14
walking,3942,3916,3942,26
sniffing,4041,3942,4041,99
grooming,4186,4041,4186,145
