revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
right_turning,1,0,1,1
rising,20,1,20,19
sniffing,51,20,51,31
rising,86,51,86,35
walking,124,86,124,38
sniffing,129,124,129,5
running,140,129,140,11
trotting,174,140,174,34
sniffing,176,174,176,2
grooming,312,176,312,136
sniffing,422,312,422,110
rising,469,422,469,47
left_turning,471,469,471,2
running,492,471,492,21
trotting,499,492,499,7
walking,529,499,529,30
left_turning,546,529,546,17
sniffing,570,546,570,24
rising,610,570,610,40
climbing,679,610,679,69
sniffing,748,679,748,69
rising,750,748,750,2
stepping,809,750,809,59
sniffing,820,809,820,11
right_turning,833,820,833,13
walking,859,833,859,26
trotting,875,859,875,16
walking,916,875,916,41
stepping,958,916,958,42
rising,1005,958,1005,47
rearing,1020,1005,1020,15
left_turning,1024,1020,1024,4
stepping,1058,1024,1058,34
grooming,1195,1058,1195,137
walking,1253,1195,1253,58
sniffing,1288,1253,1288,35
stepping,1296,1288,1296,8
sniffing,1297,1296,1297,1
rising,1341,1297,1341,44
sniffing,1407,1341,1407,66
rising,1439,1407,1439,32
grooming,1493,1439,1493,54
climbing,1548,1493,1548,55
grooming,1737,1548,1737,189
right_turning,1741,1737,1741,4
trotting,1787,1741,1787,46
walking,1813,1787,1813,26
rising,1825,1813,1825,12
sniffing,1868,1825,1868,43
stepping,1916,1868,1916,48
sniffing,1957,1916,1957,41
rising,2025,1957,2025,68
walking,2026,2025,2026,1
trotting,2036,2026,2036,10
walking,2055,2036,2055,19
grooming,2342,2055,2342,287
walking,2347,2342,2347,5
sniffing,2353,2347,2353,6
left_turning,2374,2353,2374,21
walking,2416,2374,2416,42
running,2425,2416,2425,9
walking,2453,2425,2453,28
stepping,2495,2453,2495,42
sniffing,2541,2495,2541,46
climbing,2587,2541,2587,46
grooming,2838,2587,2838,251
rising,2855,2838,2855,17
sniffing,2953,2855,2953,98
grooming,3170,2953,3170,217
rearing,3205,3170,3205,35
grooming,3375,3205,3375,170
hunching,3412,3375,3412,37
grooming,3747,3412,3747,335
rearing,3824,3747,3824,77
grooming,4059,3824,4059,235
rising,4071,4059,4071,12
grooming,4104,4071,4104,33
climbing,4114,4104,4114,10
left_turning,4152,4114,4152,38
